raw_venue,normalized_venue
HOTOS '95 Proceedings of the Fifth Workshop on Hot Topics in Operating Systems (HotOS-V),Hotos Proceedings Of The Fifth Workshop On Hot Topics In Operating Systems
Education and Information Technologies,Education And Information Technologies
INTERNATIONAL JOURNAL OF ELECTRONICS AND TELECOMMUNICATIONS,International Journal Of Electronics And Telecommunications
Security Multiparts for MIME: Multipart/Signed and Multipart/Encrypted,Security Multiparts For Mime: Multipart/Signed And Multipart/Encrypted
EAI Endorsed Trans. Future Intellig. Educat. Env.,Eai Endorsed Trans Future Intellig Educat Env
FRONTIERS IN ROBOTICS AND AI,Frontiers In Robotics And Ai
MODDM,Moddm
"Electronic Publishing—Origination, Dissemination, and Design","Electronic Publishing - Origination, Dissemination And Design"
"Peer-to-Peer Computing, 2002.",Peer-To-Peer Computing
Information Systems Security,Information Systems Security
"PROCEEDINGS OF THE IASTED INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND APPLICATIONS, VOLS 1AND 2",Proceedings Of The Iasted International Conference On Artificial Intelligence And Applications
Conformance testing methodologies and architectures for OSI protocols,Conformance Testing Methodologies And Architectures For Osi Protocols
Computers and Mathematics with Applications,Computers And Mathematics With Applications
JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,Journal Of Ambient Intelligence And Humanized Computing
"Software Engineering Conference, 1999.",Software Engineering Conference
Conference on Image and Video Retrieval,Conference On Image And Video Retrieval
PIKM,Pikm
EISIC,Eisic
Proceedings of the 2015 International Conference on Interactive Tabletops & Surfaces,Proceedings Of The International Conference On Interactive Tabletops And Surfaces
Storage and Retrieval Methods and Applications for Multimedia,Storage And Retrieval Methods And Applications For Multimedia
Transactions on rough sets VIII,Transactions On Rough Sets
Proceedings of the 6th Nordic Conference on Human-Computer Interaction: Extending Boundaries,Proceedings Of The Nordic Conference On Human-Computer Interaction: Extending Boundaries
2018 IEEE INTERNATIONAL CONFERENCE ON PERVASIVE COMPUTING AND COMMUNICATIONS WORKSHOPS (PERCOM WORKSHOPS),Ieee International Conference On Pervasive Computing And Communications Workshops (Percom Workshops
Computers in biology and medicine,Computers In Biology And Medicine
"Proceedings of the TEI '16: Tenth International Conference on Tangible, Embedded, and Embodied Interaction","Proceedings Of The Tei : Tenth International Conference On Tangible, Embedded, And Embodied Interaction"
MODELS (Satellite Events),Models (Satellite Events
medical image computing and computer assisted intervention,Medical Image Computing And Computer-Assisted Intervention
APPLIED CATEGORICAL STRUCTURES,Applied Categorical Structures
Sensor Interpretation and Task-Directed Planning Using Perceptual Equivalence Classes,Sensor Interpretation And Task-Directed Planning Using Perceptual Equivalence Classes
privacy in statistical databases,Privacy In Statistical Databases
Software Product Management,Software Product Management
Journal of Agro-Environment Science,Journal Of Agro-Environment Science
Conference On Embedded Networked Sensor Systems,Conference On Embedded Networked Sensor Systems
International Conference on Smart Homes and Health Telematics,International Conference On Smart Homes And Health Telematics
SAFA@COMMA,Safa@Comma
IJWMIP,Ijwmip
Escort: securing scout paths,Escort: Securing Scout Paths
2017 International Symposium on Theoretical Aspects of Software Engineering (TASE),International Symposium On Theoretical Aspects Of Software Engineering
Journal of Software,Journal Of Software
Mathematical Methods for Curves and Surfaces,Mathematical Methods For Curves And Surfaces
Pipe: a protein-protein interaction prediction engine based on the re-occurring short polypeptide sequences between known interacting protein pairs,Pipe: A Protein-Protein Interaction Prediction Engine Based On The Re-Occurring Short Polypeptide Sequences Between Known Interacting Protein Pairs
"Proceedings of the tenth annual conference on Object-oriented programming systems, languages, and applications","Oopsla Proceedings Of The Ninth Annual Conference On Object-Oriented Programming Systems, Language, And Applications"
IFITA,Ifita
Seoul,Seoul
Computing Research Repository,Computing Research Repository
WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,Wiley Interdisciplinary Reviews: Data Mining And Knowledge Discovery
2017 IEEE 86th Vehicular Technology Conference (VTC-Fall),Ieee Vehicular Technology Conference
PLDI,Pldi
NOCS '11 Proceedings of the Fifth ACM/IEEE International Symposium on Networks-on-Chip,Nocs Proceedings Of The Fifth Acm/Ieee International Symposium On Networks-On-Chip
"Target Tracking: Algorithms and Applications, 2006. The IEE Seminar","Target Tracking: Algorithms And Applications, The Iee Seminar"
CIASG,Ciasg
ICESS,Icess
NetSci-X,Netsci
2016 IEEE 34th VLSI Test Symposium (VTS),Ieee Vlsi Test Symposium
An Optimal Algorithm for Global Termination Detection in Shared-Memory Asynchronous Multiprocessor Systems,An Optimal Algorithm For Global Termination Detection In Shared-Memory Asynchronous Multiprocessor Systems
Requirements Prioritization and Communication,Requirements Prioritization And Communication
"The Web Conference 2019 - Proceedings of the World Wide Web Conference, WWW 2019,","The Web Conference - Proceedings Of The World Wide Web Conference, Www"
Proceedings of the 5th International Workshop on Web APIs and Service Mashups,Proceedings Of The International Workshop On Web Apis And Service Mashups
2017 IEEE 7th Annual Computing and Communication Workshop and Conference (CCWC),Ieee Annual Computing And Communication Workshop And Conference
2016 26th International Telecommunication Networks and Applications Conference (ITNAC),International Telecommunication Networks And Applications Conference
Fundamentals of Computation Theory,Fct Fundamentals Of Computation Theory
SIGGRAPH '79 Proceedings of the 6th annual conference on Computer graphics and interactive techniques,Siggraph Proceedings Of The Annual Conference On Computer Graphics And Interactive Techniques
Mathematics of Computation,Mathematics Of Computation
SIAM: SIAM Journal on Computing,Siam: Siam Journal On Computing
"automation, robotics and control systems","Automation, Robotics And Control Systems"
Fuel Cells Bulletin,Fuel Cells Bulletin
"ADVANCES IN COMPUTERS, VOL. 60: INFORMATION SECURITY","Advances In Computers, : Information Security"
Study of the impact of hardware failures on software reliability,Study Of The Impact Of Hardware Failures On Software Reliability
INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,International Journal Of Computer Science And Network Security
Readings in object-oriented database systems,Readings In Object-Oriented Database Systems
Codes for Boundary-Value Problems in Ordinary Differential Equations,Codes For Boundary-Value Problems In Ordinary Differential Equations
Evaluation of Multilingual and Multi-modal Information Retrieval,Evaluation Of Multilingual And Multi-Modal Information Retrieval
MPM@MoDELS,Mpm@Models
JOURNAL OF THE ATMOSPHERIC SCIENCES,Journal Of The Atmospheric Sciences
SDW@GIScience,Sdw@Giscience
partial evaluation and semantic-based program manipulation,Partial Evaluation And Semantic-Based Program Manipulation
"2018 IEEE 19th International Symposium on ""A World of Wireless, Mobile and Multimedia Networks"" (WoWMoM)","Ieee International Symposium On A World Of Wireless, Mobile And Multimedia Networks"
QUAESTIONES GEOGRAPHICAE,Quaestiones Geographicae
eTRAIN,Etrain
Digital Manufacturing and Automation,Digital Manufacturing And Automation
"Fundamenta Informaticae - Recent Developments in the Theory of Graph Transformation, 2010",Fundamenta Informaticae - Recent Developments In The Theory Of Graph Transformation
Ire Transactions on Engineering Management,Ieee Transactions On Engineering Management
"Embedded Computer Systems: Architectures, Modeling, and Simulation","Embedded Computer Systems: Architectures, Modeling, And Simulation, Samos"
MUSICA HODIE,Musica Hodie
PROCEEDINGS OF THE 2013 IEEE 16TH INTERNATIONAL SYMPOSIUM ON DESIGN AND DIAGNOSTICS OF ELECTRONIC CIRCUITS & SYSTEMS (DDECS),Proceedings Of The Ieee International Symposium On Design And Diagnostics Of Electronic Circuits And Systems
Big Data and Smart Computing,Big Data And Smart Computing
"Electronics, Communications and Photonics Conference","Electronics, Communications And Photonics Conference"
SIGUCCS '02 Proceedings of the 30th annual ACM SIGUCCS conference on User services,Siguccs Proceedings Of The Annual Acm Siguccs Conference On User Services
SMART MATERIALS AND STRUCTURES,Smart Materials And Structures
DISCEX (2),Discex
PHYSICS WORLD,Physics World
Journal of Algorithms & Computational Technology,Journal Of Algorithms And Computational Technology
"SIGMETRICS '20: ACM SIGMETRICS / International Conference on Measurement and Modeling of Computer Systems
		      Boston
		      MA
		      USA
		    June, 2020",Sigmetrics : Acm Sigmetrics / International Conference On Measurement And Modeling Of Computer Systems Irvine Ca Usa June
Milano,Milano
2015 IEEE 18th International Symposium on Real-Time Distributed Computing,Ieee International Symposium On Real-Time Distributed Computing
Local and Metropolitan Area Networks,Local And Metropolitan Area Networks
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,Ibm Journal Of Research And Development
CODS Companion Volume,Cods Companion
Auton. Robots,Auton Robots
IMAGAPP & IVAPP 2010: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON IMAGING THEORY AND APPLICATIONS AND INTERNATIONAL CONFERENCE ON INFORMATION VISUALIZATION THEORY AND APPLICATIONS,Imagapp And Ivapp : Proceedings Of The International Conference On Imaging Theory And Applications And International Conference On Information Visualization Theory And Applications
Signal Processing Conference,Signal Processing Conference
ESOA,Esoa
ICCST,Iccst
PROCEEDINGS PERVASIVE DISPLAYS 2018: THE 7TH ACM INTERNATIONAL SYMPOSIUM ON PERVASIVE DISPLAYS,Proceedings Pervasive Displays : The Acm International Symposium On Pervasive Displays
"2016 11th International Conference on Availability, Reliability and Security (ARES)","International Conference On Availability, Reliability And Security"
"2012 International Conference on Wireless Communications and Signal Processing, WCSP 2012","International Conference On Wireless Communications And Signal Processing, Wcsp"
foundations of digital games,Foundations Of Digital Games
MultiTemp,Multitemp
Urban Remote Sensing Event,Urban Remote Sensing Event
SIGDOC'09: PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON DESIGN OF COMMUNICATION,Sigdoc Proceedings Of The Annual Acm International Conference On Design Of Communication
JOURNAL OF VISION,Journal Of Vision
SS '95 Proceedings of the 28th Annual Simulation Symposium,Ss Proceedings Of The Annual Simulation Symposium
Weakly Hamiltonian-connected Vertices in Bipartite Tournaments,Weakly Hamiltonian-Connected Vertices In Bipartite Tournaments
CSBio,Csbio
Organic Electronics,Organic Electronics
2019 IEEE International Systems Conference (SysCon),Ieee International Systems Conference
Smart Materials and Structures,Smart Materials And Structures
"TRUSTCOM '11 Proceedings of the 2011IEEE 10th International Conference on Trust, Security and Privacy in Computing and Communications","Trustcom Proceedings Of The 2011Ieee International Conference On Trust, Security And Privacy In Computing And Communications"
2017 IEEE International Conference on IC Design and Technology (ICICDT),International Conference On Ic Design And Technology
PROCEEDINGS OF THE 34TH IEEE INTERNATIONAL CONFERENCE ON COMPUTER DESIGN (ICCD),Proceedings Of The Ieee/Acm International Conference On Computer-Aided Design
"Emerging and Selected Topics in Circuits and Systems, IEEE Journal","Emerging And Selected Topics In Circuits And Systems, Ieee Journal"
Proceedings of the working conference on Advanced visual interfaces,Proceedings Of The Working Conference On Advanced Visual Interfaces
"DELTA 2008: FOURTH IEEE INTERNATIONAL SYMPOSIUM ON ELECTRONIC DESIGN, TEST AND APPLICATIONS, PROCEEDINGS","Delta : Fourth Ieee International Symposium On Electronic Design, Test And Applications, Proceedings"
"BIOINFORMATICS AND BIOMEDICAL ENGINEERING, IWBBIO 2017, PT II","Bioinformatics And Biomedical Engineering, Iwbbio , Pt"
Wide Area Networks and High Performance Computing,Wide Area Networks And High Performance Computing
2019 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops),Ieee International Conference On Pervasive Computing And Communications Workshops (Percom Workshops
